id,name,slug,icon,description,aliases,created_at,updated_at
6106e598-a878-46f8-aeb7-f617833e19de,Marketing,marketing,megaphone,Marketing automation and analytics,"[""ads"",""growth""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
6143a3e9-151f-485b-83fe-58728632957f,No Code,no-code,app-window,No-code builders,"[""drag-drop""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
64491bd3-7d54-4fde-bc03-c5eb94eda8b5,IoT,iot,cpu,Internet of Things,"[""embedded""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
64caed30-7af5-41ce-83ef-6936c5aaf2e5,Education,education,graduation-cap,Learning platforms and tutors,"[""learning"",""courses""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
673ada87-20a0-4de6-a173-867974954530,Voice,voice,mic,"Speech-to-text, text-to-speech, and voice telephony APIs.","[""speech"",""tts"",""stt"",""speech-recognition""]",2026-08-06 17:53:21.204982+00,2026-08-06 17:54:12.259959+00
67bbea71-c2f2-42dd-81ca-769cf5ad8642,Email Marketing,email-marketing,mail,Email campaign tools,"[""newsletter""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
687da7f9-4fa9-4af9-bb72-74069a21a050,SEO,seo,search,Search engine optimization,"[""ranking"",""keywords""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
6ce69452-f382-415d-baed-ed01e4ebf7b7,Payments,payments,credit-card,"Payment processing, subscriptions, and billing infrastructure.","[""payment"",""billing"",""payments-processing"",""merchant""]",2026-08-06 17:53:17.833383+00,2026-08-06 17:54:09.536857+00
6f59e0a9-7526-496c-8109-b78e6b8a6f34,Deployment,deployment,rocket,App platforms and pipelines for shipping code to production.,"[""deploys"",""releases"",""app-platform"",""deploy""]",2026-08-06 17:53:20.355525+00,2026-08-06 17:54:11.51057+00
6f69cc4a-24fa-4f22-a871-18531ce449e0,Prompt Engineering,prompt-engineering,sparkles,Prompt creation and testing,"[""prompts""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
6f75a300-8f14-4687-97e0-db41b97ef2f2,Testing,testing,flask-conical,"Unit, integration, and end-to-end testing frameworks and runners.","[""unit-testing"",""e2e-testing"",""test"",""qa""]",2026-08-06 17:53:22.130415+00,2026-08-06 17:54:12.827446+00
72600bcd-dbe5-4460-b031-b174adefb1f2,VPN,vpn,shield-check,VPN services,"[""privacy""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
73a931b5-c56d-4430-b138-3f91f2e33071,CRM,crm,users,Customer relationship management,"[""sales-crm""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
78397adc-df5c-4a5b-b27c-ac34ad29d0e1,Document Processing,document-processing,files,Document parsing and OCR,"[""pdf"",""docs""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
797db231-919c-491a-9dc9-7b159e8f67f6,DevOps,devops,settings,Infrastructure as code and operations tooling for reliable delivery.,"[""infrastructure-as-code"",""iac"",""ops"",""provisioning""]",2026-08-06 17:53:22.319146+00,2026-08-06 17:54:13.014887+00
8033ff94-a7da-41d6-97cb-4f7894ebfba2,Low Code,low-code,wand,Low-code platforms,"[""builder""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
81557bdc-4935-4df9-b496-09810fac4ace,AI Agents,ai-agents,bot,Autonomous AI agents and assistants,"[""agents"",""autonomous-ai""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
8376f6d3-5963-4fad-afdc-b5a69c164d09,Blockchain,blockchain,blocks,Blockchain platforms,"[""web3"",""crypto""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
8555d19e-4e5d-4acd-8c6e-6f4c031c1400,Search,search,search,"Full-text, typo-tolerant, and vector search engines for instant results.","[""full-text-search"",""vector-search"",""search-engine"",""search-api""]",2026-08-06 17:53:19.171961+00,2026-08-06 17:54:10.560741+00
8b23418a-bf2c-4a52-a372-e9e05084410d,Resume Builder,resume-builder,file-user,Resume creation,"[""cv""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
91d19c03-6a5d-4d3f-8aba-65034acbce0b,LLM,llm,sparkles,"Large language model APIs for generation, reasoning, and AI assistants.","[""large-language-models"",""llms"",""genai"",""language-models""]",2026-08-06 17:53:18.854176+00,2026-08-06 17:54:10.35502+00
927f0ee8-199b-4de4-be4b-c37cf01237fd,Serverless,serverless,zap,Functions and edge compute platforms that scale to zero.,"[""functions"",""faas"",""edge-functions"",""edge-compute""]",2026-08-06 17:53:22.744033+00,2026-08-06 17:54:13.389713+00
98e56ba9-24ed-450d-84d5-a44ee3cbfe9e,CMS,cms,file-text,Content management systems for structured and unstructured content.,"[""content-management"",""headless-cms"",""content""]",2026-08-06 17:53:20.166996+00,2026-08-06 17:54:11.31604+00
992e98eb-66fc-4b98-ac20-1ba5a4945b82,Video APIs,video-apis,video,"Video streaming, transcoding, live streaming, and player SDKs.","[""video"",""video-streaming"",""video-hosting""]",2026-08-06 17:53:23.250603+00,2026-08-06 17:54:13.781453+00
a4c7bb31-253c-4480-97ff-ec82718317eb,CDN,cdn,globe,Global content delivery networks for low-latency asset distribution.,"[""content-delivery"",""edge-cdn"",""edge-network""]",2026-08-06 17:53:23.451472+00,2026-08-06 17:54:13.970044+00
a68d0d1f-ce01-4997-beaf-09d780e108b6,Meeting Assistant,meeting-assistant,calendar-check,Meeting notes and transcription,"[""meetings""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
a8482fa3-0b9f-44df-9eb0-1a3d1ac5eca0,Analytics,analytics,bar-chart-3,"Product analytics, event tracking, and user behavior insights.","[""product-analytics"",""web-analytics"",""analytics-tracking""]",2026-08-06 17:53:18.327793+00,2026-08-06 17:54:09.940351+00
ac238280-4410-4117-a322-fbb734785893,Backend,backend,server,"Server-side frameworks and runtimes for APIs, services, and business logic.","[""api"",""server"",""web-backend"",""backend-framework""]",2026-08-06 17:53:16.300136+00,2026-08-06 17:54:08.065337+00
ad700665-9304-49a1-9894-b153addbb7a1,Maps,maps,map,"Mapping, geocoding, and location services for apps and dashboards.","[""mapping"",""geolocation"",""map-services"",""geo""]",2026-08-06 17:53:20.561297+00,2026-08-06 17:54:11.695633+00
ae68a899-d3a4-4482-b1f3-8e61c9c49d47,Containerization,containerization,container,Containers and orchestration platforms to package and run services.,"[""containers"",""orchestration"",""kubernetes"",""docker""]",2026-08-06 17:53:22.531221+00,2026-08-06 17:54:13.203104+00
b0a13eb1-dea6-4297-ae09-3fc5ca223301,Writing,writing,pen-tool,Writing and content creation,"[""copywriting"",""content""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
b22ae211-8691-4d97-a141-2e0a008808a6,Data Science,data-science,database,Data science ecosystem,"[""analytics-ai""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
b51429f0-46d8-4708-8d0c-e4c06c68a9e0,API Management,api-management,plug,API lifecycle management,"[""gateway""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
b7cc698c-da2b-4b16-aace-ae748b7b8c67,Video Generation,video-generation,video,Generate videos using AI,"[""text-to-video"",""ai-video""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
b9d69643-a387-48a8-84f6-7c801f2989f3,Email,email,mail,Transactional and marketing email APIs with templates and deliverability.,"[""emails"",""email-sending"",""transactional-email"",""email-api""]",2026-08-06 17:53:18.135578+00,2026-08-06 17:54:09.735279+00
bb01fe46-e66b-4ead-9867-c08be5a78a5b,Workflow Automation,workflow-automation,workflow,Automate repetitive workflows,"[""automation"",""zap""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
c1d121bf-52ec-4e03-8a69-7d1dfa059d7a,Business Intelligence,business-intelligence,chart-column,Business intelligence tools,"[""bi""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
c436655b-6108-4f0a-b726-88690a789191,CI/CD,ci-cd,git-branch,Continuous integration and delivery pipelines for automated builds.,"[""cicd"",""pipelines"",""continuous-integration"",""continuous-deployment""]",2026-08-06 17:53:23.050655+00,2026-08-06 17:54:13.581564+00
c5818234-61d6-4d3e-983d-a81dccfbac3d,Web Scraping,web-scraping,globe,Website data extraction,"[""crawler"",""scraper""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
c86a6306-8a19-4358-a1c8-583793ae7f33,Authentication,authentication,shield-check,"OAuth, magic links, biometrics, and session management for secure user login.","[""auth"",""authn"",""user-auth"",""sign-in"",""login""]",2026-08-06 17:53:16.615416+00,2026-08-06 17:54:08.249549+00
c8764c65-c730-481b-b856-c87c1bb860a4,Storage,storage,hard-drive,"File and object storage solutions for images, videos, and user uploads.","[""file-storage"",""object-storage"",""blob-storage""]",2026-08-06 17:53:17.616883+00,2026-08-06 17:54:09.279809+00
cba78256-c6ac-4552-8f6f-e09763120cd5,Frontend,frontend,layout,"Frameworks and libraries for building fast, accessible user interfaces.","[""ui"",""web-frontend"",""frontend-framework"",""spa""]",2026-08-06 17:53:16.090366+00,2026-08-06 17:54:07.880208+00
cc4b339a-bc1b-4e11-91cc-8dd3f48610ca,Vector Database,vector-database,database-zap,Embedding/vector databases,"[""embeddings""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
d0b7f346-f1de-4959-84a9-a7d7c662f9e5,Code Generation,code-generation,code,Generate and explain source code,"[""coding"",""programming""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
d67ca27c-acbd-47ce-a120-0efbf639a897,Machine Learning,machine-learning,brain,Machine learning frameworks,"[""ml""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
dad75ba5-3f76-4466-abbc-66c70597286f,Healthcare,healthcare,heart-pulse,Healthcare software,"[""medical""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
dcde4173-b7f3-4db7-b3d7-f065acb267af,Hosting,hosting,cloud,"Deploy and scale your frontend, backend, and serverless functions globally.","[""host"",""web-hosting"",""app-hosting""]",2026-08-06 17:53:17.21598+00,2026-08-06 17:54:08.903527+00
ddf2c10c-b800-43d9-adaf-7e139c5c7bd4,Cybersecurity,cybersecurity,shield,Security and threat detection,"[""security"",""infosec""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
e064afec-275f-4f8c-9e69-a1ca773c9de7,Design,design,palette,Graphic and creative design,"[""graphics"",""creative""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
e1337bad-55fa-42cb-b24e-ca6124a2bbec,Calendar,calendar,calendar,Scheduling and calendars,"[""events""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
e1fc2338-e9a0-45d7-88f6-7580f101ffb9,Game Development,game-development,gamepad-2,Game engines and tools,"[""gamedev""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
e2a02bb6-b1d1-40e7-8da6-0a020f496123,Caching,caching,zap,In-memory data stores and caching layers for speed and scale.,"[""cache"",""redis-cache"",""in-memory-store"",""cache-layer""]",2026-08-06 17:53:19.475243+00,2026-08-06 17:54:10.761287+00
e4159e69-0db3-44ad-8042-8506c28feca4,Image Generation,image-generation,image,AI tools that generate images from text prompts,"[""text-to-image"",""ai-images"",""diffusion""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
e9d48fdb-d112-4405-8e48-1bb51adb6bcc,Data Visualization,data-visualization,bar-chart-3,Visualization dashboards,"[""charts""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
e9e08973-e1d1-4f10-a0d0-1b801825cc0c,Customer Support,customer-support,headphones,Helpdesk and support systems,"[""support"",""ticketing""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
ee8992a7-57e9-48a7-af0f-485c799e1d80,Productivity,productivity,briefcase,Productivity and task tools,"[""tasks"",""work""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
f4a29886-cea4-4434-92e4-ef39f54a56a9,AI Models,ai-models,brain-circuit,"Model infrastructure and platforms for hosting, running, and serving AI models.","[""model-inference"",""model-hosting"",""ai-infrastructure"",""ml-platform""]",2026-08-06 17:53:18.543299+00,2026-08-06 17:54:10.15696+00
f58b704c-c9c7-4b9e-a332-fb72b375524e,Social Media,social-media,share-2,Social media management,"[""social"",""posting""]",2026-08-07 11:55:06.435253+00,2026-08-07 11:55:06.435253+00
fc154309-ff8f-4bf1-b119-4360831c9f2c,Translation,translation,languages,Machine translation and localization APIs.,"[""i18n"",""localization"",""language-translation"",""translator""]",2026-08-06 17:53:20.994926+00,2026-08-06 17:54:12.074167+00
ffa7e089-641e-43fe-a52f-f84bfc308c55,Database,database,database,"SQL, NoSQL, vector, and real-time databases to store and query your data.","[""databases"",""db"",""datastore"",""data-store""]",2026-08-06 17:53:16.914835+00,2026-08-06 17:54:08.439387+00
